( 339,   5) = bc30ff784b78fffc770707ffffffffff
( 155,   6) = adfabfa7b4200000ffb626b634f6a4b4
( 252,   6) = bfd65cc6bcee0c00f504002000b42020
( 280,   6) = ec28dc02fff7df82e2e2f2b3f7fbffff
( 301,   6) = fff8b4c9f4cc9d48e10400a7f981f3ff
( 135,   8) = e1c6b180e880000420f8fcbce08018e0
( 284,   8) = 7082fc48edd2ffeea0e8e8f8e8fff8ea
( 237,   9) = c008ffbe4100e31effefffffdf81ffdf
( 259,   9) = cf17ac51cc81eff1df0000c2e7da1080
( 223,  10) = 7ecf1c00fde40c000000000000c0006a
( 249,  10) = 7dc708003edb3de10020002000e92000
( 267,  10) = c000f230cb50fbb0fefffffefefefffe
( 306,  10) = fd82fc52fe53ffa2c00040f0f8fbf8f8
( 317,  10) = fda0fd10fe101fb060e0d0f4fdfcfefc
( 255,  11) = 9ec51d7cdf6f1ec500000010001ece00
( 314,  11) = ff80fd20fc08fe0040c080f8f8fbffff
( 237,  13) = e000f33c4310f3b8ffffffffffffffff
( 223,  14) = cdd60c00bcdf14c04000000000000000
( 227,  16) = 77fba243aec334e7797b772040f44040
( 234,  16) = 1230afb1db70ef3a9e1edefe1c9ebe9e
( 256,  16) = 7fe71840ded714f50018002020bc2020
( 386,  16) = 8e7f0cdf8fff89ff9793130383030003
( 224,  17) = f2c7428775efc047fee6608000fa0000
( 219,  20) = afd78a07eedf17ff5710041100000000
( 273,  20) = f800fe7efb7afff8a0e7ffffffffffff
( 383,  20) = 5cef187e1fff1df70000000100030100
( 249,  21) = a108f68f201ff33fa8effbffefab0163
( 260,  22) = fd93ec82fcd79183e0e0f0f0e0fbf0e0
( 204,  23) = 030873bf00323f329fffffffff7fffff
( 247,  24) = f300ff7e6812ff3ea4f4fefffafefeff
( 244,  25) = 6000fe7ccb31fff982fffefefefffdfe
( 386,  26) = ffff1000bef71ce10000000000a60000
( 237,  29) = 4000eb69c302ffa0dedefedefffefdff
( 204,  30) = 0a3df6bcc33cc13dafdf7fbfff03df6f
( 231,  30) = 63a0fbd3c200f25056dfdeffd6dcdedc
( 412,  30) = 0040f2d7c3f7f37fffffffffdbdf1800
( 401,  31) = da3c1138a5bcc45ca3a7ef83e707e7e7
(  19,  32) = ed73f3af3088e80ae0e4e6f4e4e0e4e6
( 390,  32) = 806f08430bd7e3f3ff9b1e0000840000
( 229,  33) = 9e38d77ec320ef2ef6f7dffffffff6ff
( 387,  33) = 00ef9687ffff10455edf5fef430f000d
(1122,  33) = 008e14af112e11f501fb090b0b030000
( 352,  34) = 7300e7b7b213ef7bf467ffffff7e7efe
( 385,  34) = 2f7ffecf84ef064f5d0400fd00000000
( 378,  35) = 0c5d00531fff15f7030b030100010000
(1091,  35) = deff12ff4b5f117f1597050704000700
( 242,  37) = 8ba8f720ba323fb05e1818ffff3fffff
( 349,  37) = 3190fd7e3a7b7fb2007e7e7e7e7e7e00
( 213,  38) = 8100e960c800e602ff98fff8fbf8f8ff
( 437,  39) = 3001fd7f5b13fbbe00e3ffffffffffff
( 380,  40) = 1fff10d332df10f30001012000210000
( 418,  40) = c7ff82bd82fe803c87c7d78183010181
( 431,  41) = f1a0fb7f7009fa2200fffffffffcfefc
(  34,  42) = f5f3585334c504c1c0e7000100001000
( 329,  42) = c67dde5fc35fffffdfd7109f1193cf97
( 382,  42) = ddf79083d48f180100c704c4c68e0000
( 358,  43) = 9dff20701cff3cb00000000000000000
(   3,  44) = 8375b3878088a2579f9f97e7b7100010
(  11,  44) = e3154a786aa8e0dff5ffff40c4c5e744
( 398,  44) = 200acf3ec100ce1fbf1fffffff0fffff
( 426,  44) = 0220f39b4301fb3bfffffefefefedede
( 360,  45) = 9dd704d71cff18d40100000000040200
( 376,  45) = 10cf31cf010335ef0003012b2b2b2b2b
( 403,  45) = 0012f7a7d1a4803e899dffffff040bff
(   5,  46) = e357a3bfb02ce20ffafbfbf6f2c0d0d2
( 223,  46) = 0238f7be633ac33fffffffffbf1f3fbf
(  17,  47) = 35d2d5feb4b810000064fc336ae422ff
( 152,  47) = 6308636a20a0e68be0d8684c7c7c0000
( 379,  47) = dfdd09dc5488000e5f114101f3014141
(  14,  48) = 790df33f0000202de475ff61fd647800
(  31,  48) = 1b8f095b3cae000200991128e9f92069
( 425,  48) = 0010ff7aff33ff3200bfffffffffffff
( 165,  49) = 2451ad50b181ee5fae2e18feaaaabe2a
( 325,  49) = aef71403ffff1cf71500000000140000
( 331,  49) = 0020fe7fc77b7ffd5f1f8f5f127f1f1e
( 361,  50) = 0cff00077fff35ff0018000000230000
( 464,  50) = 027742562f57c5ffffffa701031f0000
( 225,  51) = 4238c3fbc334ee3fffffdfdfffffffff
( 414,  52) = 0220c7a6c300cb47fededededcfefcfe
(  31,  53) = bfd71dde94ad4a0f330010f9110000fd
( 235,  53) = 4000ffbfc100eb3fffdbffffffdedede
( 341,  55) = 103ea2bf013bb97fafafffafaf0f072f
( 350,  55) = 4ebf041f2fff01bf7f57c7017f010301
( 384,  55) = 3301b283b080000b24bebe243e003820
( 416,  55) = 0220f67e4352fffbdfffefff9fbfffdf
(  12,  56) = 4000eb386100ef1deafbfbfbffeaffff
( 232,  57) = 9230a7bed7388230dff79fffdfdedfdf
( 322,  57) = 7dd7040cbcff1cef0000002020202020
( 344,  57) = ccbffdbfc53ece3fc10041cfcd85d301
( 395,  57) = f6bfc3fee5bd441bf514002171016341
( 406,  57) = efdfddefc0ef4a6f7160185151355100
(1070,  57) = 8c38138387a4020b1e9f0f1714100517
(  10,  58) = 0200e378c372f3f8ffffffdfdfffdfff
( 198,  58) = f192bb7f4000ae4fe2d37ff7ffe1f341
( 230,  58) = fa388ff88130ca39f6f6ffbcfef4ffff
( 426,  58) = 2234f3bf633a71be37ffff6f7f3f6fff
( 489,  58) = 0220efbfc328433f7f7fff7f7f1f7fff
(1077,  58) = 022d821bc3a4ef1b3f1f9f1f1f0b1901
( 174,  59) = 30e35bfefbed40557f3cbe0104c4a6ff
(  13,  60) = 0008e25cc310e338ffffffffff7bffff
( 215,  60) = 3be9b6a1befa39e00000b83020203aff
( 398,  60) = 49ef78bf08f733a44b48f78dff0cef0c
